"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HCST2",9.53123120559669e-217,1.30031273390267,0.954,0.391,2.19361286196808e-212,"9","HCST"
"PTPN4",1.48967159267298e-212,0.786538463935339,0.432,0.075,3.42847917053687e-208,"9","PTPN4"
"PFN12",2.43339408500353e-212,1.33026561346516,0.999,0.681,5.60045648663563e-208,"9","PFN1"
"DBI1",2.69136617052495e-211,0.915844601091553,0.726,0.187,6.19417924146317e-207,"9","DBI"
"RORA1",7.08652032944825e-210,0.811966497492412,0.55,0.113,1.63096265382251e-205,"9","RORA"
"ARL4C2",1.65745988146301e-209,0.842261402426098,0.784,0.203,3.81464391718711e-205,"9","ARL4C"
"F2R",2.85039614873839e-206,0.668500450483485,0.262,0.031,6.56018673632141e-202,"9","F2R"
"AC092821.3",1.77977964004663e-205,0.747978988651582,0.366,0.058,4.09616284156733e-201,"9","AC092821.3"
"RHOC",2.30064668787892e-205,0.795392977321799,0.468,0.088,5.29493835215335e-201,"9","RHOC"
"TRG-AS1",2.42484477743496e-199,0.810375530715867,0.388,0.066,5.58078025526657e-195,"9","TRG-AS1"
"TPST2",7.81560806237343e-198,0.751541328316687,0.491,0.098,1.79876219555524e-193,"9","TPST2"
"C5orf56",1.63385037164855e-196,0.71778282406939,0.415,0.074,3.76030663034915e-192,"9","C5orf56"
"TGFBR3",1.40335380441757e-193,0.681719483928862,0.347,0.054,3.22981878086704e-189,"9","TGFBR3"
"PDIA3",2.54002556245211e-191,0.89693206744696,0.635,0.159,5.84586883198352e-187,"9","PDIA3"
"ITGB7",3.35253420142262e-190,0.885832240276015,0.41,0.076,7.71585746457416e-186,"9","ITGB7"
"MYOM21",4.90755912453515e-188,1.18131143744474,0.415,0.079,1.12947473251176e-183,"9","MYOM2"
"PLAAT3",4.2337778735069e-186,0.663976293439851,0.254,0.032,9.74403977587613e-182,"9","PLAAT3"
"LAIR2",1.76453043627337e-183,0.84453208104725,0.315,0.048,4.06106679908315e-179,"9","LAIR2"
"DSTN",4.58788226380412e-182,0.747612245347353,0.531,0.118,1.05590110301452e-177,"9","DSTN"
"PRDM1",2.04609107151072e-177,0.769338783548128,0.404,0.077,4.70907860108193e-173,"9","PRDM1"
"POLR3GL",3.74095349900738e-176,0.691253183777893,0.384,0.071,8.60980447796548e-172,"9","POLR3GL"
"BIN21",2.2769045123829e-174,0.781605939090899,0.662,0.176,5.24029573524923e-170,"9","BIN2"
"ANXA6",5.07229004359355e-172,0.731950310346627,0.565,0.136,1.16738755353305e-167,"9","ANXA6"
"CD992",6.87466435783425e-172,0.965206609161412,0.865,0.299,1.58220400195555e-167,"9","CD99"
"NFATC2",1.50747450532984e-168,0.635769492042421,0.279,0.042,3.46945257401663e-164,"9","NFATC2"
"SYTL3",4.75145501879153e-167,0.588588646938263,0.322,0.054,1.09354737257487e-162,"9","SYTL3"
"TBCB",1.47532722902429e-165,0.685948795292797,0.453,0.098,3.39546561759941e-161,"9","TBCB"
"SH2D2A",3.56321928809005e-161,0.676405106007392,0.324,0.056,8.20074919153926e-157,"9","SH2D2A"
"PTPN7",1.09803544191208e-159,0.631470806447923,0.381,0.074,2.52712856956064e-155,"9","PTPN7"
"CD813",1.06390994993485e-156,0.74103183054654,0.672,0.189,2.44858874977507e-152,"9","CD81"
"HMGN3",5.58885277219857e-156,0.668935527136642,0.56,0.143,1.2862744655215e-151,"9","HMGN3"
"FKBP11",2.69852753493656e-155,0.588340509712863,0.378,0.074,6.2106611216565e-151,"9","FKBP11"
"LINC00861",5.92072260124502e-155,0.578316282773519,0.393,0.079,1.36265430667654e-150,"9","LINC00861"
"FYN1",4.10236746372649e-154,0.704808066678705,0.597,0.16,9.44159871776652e-150,"9","FYN"
"DOK21",4.3573857317233e-153,0.699164981636863,0.56,0.146,1.00285232615612e-148,"9","DOK2"
"GNG21",8.0548240196637e-153,0.748705856907221,0.529,0.134,1.8538177481256e-148,"9","GNG2"
"CTSC",1.94783911076898e-151,0.684789440418138,0.607,0.166,4.48295171343482e-147,"9","CTSC"
"CLEC2B",3.18791018858598e-151,0.650329872641204,0.544,0.139,7.33697529903062e-147,"9","CLEC2B"
"RASSF1",5.12189269057347e-150,0.629816293713588,0.39,0.081,1.17880360273548e-145,"9","RASSF1"
"MYL12A2",9.62274750216198e-150,0.968456402855567,0.982,0.561,2.21467533762258e-145,"9","MYL12A"
"HSPA5",3.62429478497656e-149,0.823434691343282,0.551,0.149,8.34131444762356e-145,"9","HSPA5"
"NDUFA12",3.46294348001357e-148,0.701791694174993,0.419,0.094,7.96996441925124e-144,"9","NDUFA12"
"ITM2A",4.30063094496702e-148,0.678606050586999,0.372,0.076,9.89790211984159e-144,"9","ITM2A"
"CISD3",2.72858737338796e-147,0.630088281524843,0.285,0.049,6.27984383985239e-143,"9","CISD3"
