"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LAPTM4A.5",1.2841257761271e-08,0.619623812627976,0.471,0.208,0.000295541547375653,"15","LAPTM4A"
"SLC38A1.1",1.2998664916741e-08,0.682389732367154,0.31,0.108,0.000299164273058795,"15","SLC38A1"
"SIVA1",1.34136006064456e-08,0.948810515418996,0.264,0.09,0.000308714017957346,"15","SIVA1"
"SRRM2",1.39355285756798e-08,0.556264050339456,0.506,0.221,0.000320726190169271,"15","SRRM2"
"IL32.15",2.06877279829368e-08,-2.70330822889762,0.034,0.309,0.000476128059527291,"15","IL32"
"RPS3A.11",2.46857460114836e-08,0.555622923160071,0.931,0.821,0.000568142444454294,"15","RPS3A"
"ANAPC11",2.55806107320521e-08,0.766392436434489,0.276,0.098,0.00058873775599818,"15","ANAPC11"
"PEBP1.1",2.67961599122961e-08,0.743683143356577,0.31,0.113,0.000616713620381495,"15","PEBP1"
"CYTH4.2",2.81501117332079e-08,0.598264411939831,0.368,0.145,0.000647874821539779,"15","CYTH4"
"CEBPB.14",3.27137061680854e-08,-2.12969855925529,0.057,0.336,0.000752905947458485,"15","CEBPB"
"FYB1.9",3.55366457006246e-08,-2.13187297600998,0.126,0.385,0.000817875900799876,"15","FYB1"
"GGNBP2",5.55433102554182e-08,0.781718779206127,0.322,0.123,0.00127832928552845,"15","GGNBP2"
"ATP5MF.3",5.58976165536362e-08,0.911035248424147,0.414,0.192,0.00128648364498194,"15","ATP5MF"
"C1orf56.8",6.15784495416297e-08,-1.71317325101537,0.172,0.43,0.00141722801620061,"15","C1orf56"
"USF2.1",6.6446052460459e-08,0.807003932873613,0.276,0.1,0.00152925589737746,"15","USF2"
"GAPDH.11",7.62259023262909e-08,-1.33108954439659,0.448,0.61,0.00175433914203958,"15","GAPDH"
"ZRANB2.1",7.66422379598896e-08,0.685274651097511,0.253,0.087,0.00176392110664686,"15","ZRANB2"
"SPCS2.2",7.82688765586803e-08,0.696028871211656,0.425,0.187,0.00180135819399803,"15","SPCS2"
"CDK2AP2.1",7.91974547042407e-08,0.947277957745051,0.264,0.096,0.0018227294200181,"15","CDK2AP2"
"ARL6IP1",8.23760689708452e-08,0.608856394386594,0.379,0.155,0.001895885227364,"15","ARL6IP1"
"MT-ND3.6",8.46746930389872e-08,-0.614642515113789,0.943,0.944,0.00194878806029229,"15","MT-ND3"
"MYO1F.8",8.67787210192124e-08,-1.97130350685534,0.057,0.321,0.00199721226425717,"15","MYO1F"
"TRIM22.1",9.0912767111901e-08,0.733998598783698,0.333,0.135,0.0020923573350804,"15","TRIM22"
"RPL37A.10",9.47618278170964e-08,0.583719911579082,0.874,0.701,0.00218094346721047,"15","RPL37A"
"IFITM1.14",9.52339153747139e-08,-2.25712095354946,0.034,0.291,0.00219180856234904,"15","IFITM1"
"IER2.10",1.63560453731073e-07,-1.63388447828956,0.149,0.414,0.00376434384262064,"15","IER2"
"TMED2",1.64348435320171e-07,0.751147186111254,0.368,0.163,0.00378247923889373,"15","TMED2"
"PLEK.10",1.93576677300774e-07,0.529699158128067,0.529,0.253,0.00445516722807732,"15","PLEK"
"H2AFV.1",2.68394470904024e-07,0.68614827106553,0.356,0.153,0.00617709874785611,"15","H2AFV"
"FCN1.14",3.12110323622789e-07,-2.75638129988586,0.034,0.275,0.0071832190981785,"15","FCN1"
"TACC1",3.19891357669503e-07,0.690161045963176,0.31,0.125,0.00736229959676362,"15","TACC1"
"LTB.3",3.23914681458064e-07,0.516431351256997,0.437,0.191,0.00745489639375735,"15","LTB"
"EVL.13",3.45760188623045e-07,-1.82406026815736,0.011,0.25,0.00795767074115938,"15","EVL"
